Farm_ID,Crop_Type,Farm_Area(acres),Irrigation_Type,Fertilizer_Used(tons),Pesticide_Used(kg),Yield(tons),Soil_Type,Season,Water_Usage(cubic meters),z_score,fertilizer_to_yield_ratio,pesticide_to_yield_ratio,water_to_yield_ratio,fertilizer_to_acre_ratio,pesticide_to_acre_ratio,water_to_acre_ratio
F001,Cotton,329.4,Sprinkler,8.14,2.21,14.44,Loamy,Kharif,76648.2,0.9551564553596843,1.7739557739557739,6.53393665158371,0.00018839320427616044,0.024711596842744387,0.006709168184578021,232.6903460837887
F002,Carrot,18.67,Manual,4.77,4.36,42.91,Peaty,Kharif,68725.54,1.1997586172352668,8.9958071278826,9.841743119266054,0.000624367593182971,0.2554900910551687,0.23352972683449383,3681.0680235672194
F003,Sugarcane,306.03,Flood,2.91,0.56,33.44,Silty,Kharif,75538.56,0.4829674076295701,11.491408934707902,59.7142857142857,0.00044268781401181063,0.009508871679247135,0.0018298859588929193,246.83383981962555
F004,Tomato,380.21,Rain-fed,3.32,4.35,34.08,Silty,Zaid,45401.23,0.5314094745934187,10.265060240963855,7.83448275862069,0.0007506404562167147,0.00873201651718787,0.011441045737881697,119.41093080139925
F005,Tomato,135.56,Sprinkler,8.33,4.48,43.28,Clay,Zaid,93718.69,1.2277641871987421,5.195678271308523,9.660714285714285,0.0004618075647450898,0.06144880495721452,0.03304809678371201,691.3447182059605
F006,Sugarcane,12.5,Sprinkler,6.42,2.25,38.18,Loamy,Zaid,46487.98,0.8417414660805738,5.947040498442368,16.968888888888888,0.0008212875672378106,0.5136,0.18,3719.0384000000004
F007,Soybean,360.06,Drip,1.83,2.37,44.93,Sandy,Rabi,40583.57,1.3526538910899142,24.551912568306008,18.957805907172993,0.0011070982666138045,0.005082486252291285,0.0065822362939510085,112.71335333000056
F008,Rice,464.6,Drip,5.18,0.91,4.23,Silty,Kharif,9392.38,1.7279588048923311,0.8166023166023167,4.648351648351649,0.0004503650831844539,0.011149375807145931,0.0019586741282823935,20.216056823073608
F009,Maize,389.37,Drip,0.57,4.93,3.86,Peaty,Rabi,60202.14,1.755964374855806,6.771929824561404,0.7829614604462475,6.411732207526177e-05,0.001463903228291856,0.012661478799085702,154.61422297557593
F010,Soybean,184.37,Drip,2.18,2.67,17.25,Sandy,Kharif,90922.15,0.7424655050965366,7.912844036697247,6.460674157303371,0.00018972274632749007,0.011824049465748224,0.014481748657590714,493.15045831751365
F011,Rice,279.95,Drip,8.02,1.24,32.85,Clay,Zaid,5869.75,0.43830987714727243,4.096009975062344,26.491935483870968,0.005596490480855232,0.02864797285229505,0.004429362386140383,20.967136988747992
F012,Sugarcane,145.32,Flood,3.01,2.27,8.08,Clay,Kharif,88976.51,1.4365494958129295,2.684385382059801,3.5594713656387666,9.08104846998382e-05,0.020712909441233142,0.015620699146710708,612.2798651252408
F013,Wheat,329.1,Drip,5.26,0.83,5.44,Clay,Zaid,45922.35,1.6363730220388049,1.0342205323193918,6.55421686746988,0.00011846083660788266,0.015982983895472497,0.002522029778182923,139.53919781221512
F014,Rice,246.02,Flood,1.01,3.45,11.38,Sandy,Rabi,71953.14,1.1867700880305851,11.267326732673268,3.298550724637681,0.00015815849037304,0.0041053572880253636,0.014023250142264857,292.46866108446466
F015,Sugarcane,305.15,Rain-fed,5.39,2.15,28.77,Peaty,Kharif,33615.77,0.12949170025273765,5.337662337662338,13.38139534883721,0.0008558483116703858,0.017663444207766672,0.0070457152220219565,110.16146157627396
F016,Barley,60.22,Flood,2.19,0.35,16.03,Sandy,Zaid,25132.48,0.834808195246373,7.319634703196348,45.800000000000004,0.0006378200639172895,0.03636665559614746,0.005812022583859182,417.34440385254067
F017,Carrot,284.01,Manual,5.89,0.81,47.7,Loamy,Zaid,88301.46,1.5623172121678215,8.098471986417659,58.888888888888886,0.0005401949186344144,0.020738706383578043,0.0028520122530896804,310.9096862786522
F018,Maize,128.23,Rain-fed,4.91,0.77,16.67,Loamy,Rabi,18660.03,0.7863661282825243,3.3951120162932793,21.64935064935065,0.0008933533333011792,0.03829057162910396,0.006004835061997973,145.52000311939483
F019,Maize,460.93,Drip,1.09,1.31,39.96,Sandy,Zaid,54314.28,0.9764709648237777,36.6605504587156,30.50381679389313,0.0007357181205384661,0.0023647842405571345,0.00284208014232096,117.836287505695
F020,Barley,58.85,Sprinkler,3.61,3.32,18.85,Sandy,Kharif,92481.89,0.6213603376869151,5.2216066481994465,5.677710843373495,0.0002038236891568717,0.06134239592183517,0.05641461342395922,1571.4849617672048
F021,Cotton,377.05,Drip,5.95,0.91,29.17,Clay,Rabi,26743.55,0.15976799210514317,4.902521008403362,32.05494505494506,0.0010907302882377247,0.015780400477390266,0.0024134730141890997,70.92839146001856
F022,Wheat,92.67,Flood,6.95,3.64,30.7,Clay,Rabi,42874.34,0.27557480844059346,4.41726618705036,8.434065934065934,0.000716046007938548,0.07499730225531456,0.039279162620049636,462.6560915074997
F023,Potato,15.67,Drip,9.95,2.99,18.13,Loamy,Zaid,41862.86,0.675857663021245,1.822110552763819,6.063545150501671,0.00043308077852301534,0.6349712827058073,0.19081046585832803,2671.5290363752392
F024,Rice,483.88,Drip,6.31,2.29,34.46,Clay,Zaid,61383.07,0.560171951853204,5.461172741679873,15.048034934497817,0.0005613925794196999,0.013040423245432751,0.004732578325204596,126.85597668843515
F025,Barley,75.64,Flood,6.69,3.57,6.14,Silty,Zaid,43847.82,1.5833895112970955,0.9177877428998504,1.7198879551820727,0.0001400297665881679,0.08844526705446853,0.04719725013220518,579.6909042834479
F026,Wheat,162.28,Flood,5.85,2.42,24.63,Loamy,Rabi,65838.4,0.18386792041965785,4.21025641025641,10.177685950413222,0.00037409779095482274,0.03604880453537096,0.014912496918905595,405.70865171308844
F027,Cotton,375.1,Rain-fed,0.5,4.76,22.51,Clay,Kharif,39362.44,0.34433226723740606,45.02,4.728991596638656,0.000571864955526131,0.0013329778725673152,0.012689949346840841,104.9385230605172
F028,Tomato,256.19,Flood,7.32,2.19,48.02,Silty,Rabi,81313.04,1.5865382456497459,6.560109289617486,21.926940639269407,0.000590557184923845,0.028572543815137203,0.0085483430266599,317.39349701393496
F029,Wheat,288.52,Manual,1.79,4.78,36.9,Silty,Zaid,23208.04,0.7448573321528765,20.614525139664803,7.719665271966527,0.0015899662358389592,0.006204075973935949,0.01656730902537086,80.43823651739915
F030,Potato,286.52,Rain-fed,8.91,0.77,30.5,Loamy,Zaid,93407.38,0.26043666251439085,3.423120089786756,39.61038961038961,0.0003265266620260626,0.03109730559821304,0.00268742147145051,326.0064916934246
F031,Barley,136.16,Flood,5.89,1.36,11.86,Clay,Zaid,30098.35,1.150438537807699,2.0135823429541597,8.720588235294116,0.00039404153383823363,0.04325793184488837,0.009988249118683902,221.0513366627497
F032,Carrot,350.42,Flood,8.4,2.94,24.34,Clay,Rabi,71580.87,0.20581823201265168,2.8976190476190475,8.27891156462585,0.00034003498420737274,0.023971234518577706,0.008389932081502197,204.27164545402658
F033,Barley,446.76,Drip,7.79,0.96,46.47,Loamy,Zaid,93656.06,1.4692176147216747,5.965340179717587,48.40625,0.0004961771827685256,0.017436655027307728,0.0021488047273704003,209.63394216133943
F034,Tomato,264.12,Drip,4.75,4.79,12.92,Loamy,Rabi,92745.01,1.0702063643988247,2.72,2.697286012526096,0.00013930668614947587,0.01798424958352264,0.018135695895804937,351.1472436771164
F035,Soybean,266.03,Drip,8.57,1.35,34.45,Silty,Zaid,43610.21,0.559415044556894,4.019836639439907,25.51851851851852,0.0007899526280657673,0.032214411908431384,0.005074615644852085,163.92966958613692
F036,Cotton,446.16,Manual,4.35,3.47,12.53,Loamy,Zaid,38874.28,1.09972574895492,2.8804597701149426,3.6109510086455328,0.0003223210822168282,0.009749865519096287,0.007777478931325085,87.13080509234355
F037,Soybean,156.1,Manual,1.18,4.43,40.15,Loamy,Zaid,73646.55,0.99085220345367,34.02542372881356,9.063205417607223,0.000545171498189664,0.007559256886611147,0.02837924407431134,471.79083920563744
F038,Barley,431.22,Drip,5.71,3.18,45.95,Silty,Kharif,36065.94,1.4298584353135482,8.047285464098074,14.449685534591195,0.0012740552443662914,0.013241500858030702,0.007374426047029359,83.63698344232643
F039,Cotton,220.48,Flood,9.96,2.91,10.53,Clay,Zaid,82549.03,1.251107208216947,1.0572289156626504,3.6185567010309274,0.00012756055401256684,0.045174165457184334,0.013198476052249638,374.40597786647317
F040,Cotton,166.82,Rain-fed,2.85,1.36,46.19,Sandy,Zaid,12007.7,1.448024210424991,16.20701754385965,33.963235294117645,0.003846698368546849,0.017084282460136675,0.008152499700275748,71.97997841985374
F041,Rice,370.79,Flood,8.18,4.99,35.01,Sandy,Kharif,85208.71,0.6018018531502611,4.2799511002444985,7.016032064128256,0.0004108734893416412,0.022061004881469292,0.013457752366568678,229.80315003101487
F042,Sugarcane,418.99,Sprinkler,0.78,0.58,26.29,Clay,Zaid,33705.69,0.05822130923217561,33.705128205128204,45.327586206896555,0.0007799869992277268,0.001861619609059882,0.0013842812477624763,80.44509415499176
F043,Cotton,78.79,Flood,1.35,3.0,11.45,Sandy,Zaid,94754.73,1.1814717369564145,8.481481481481481,3.8166666666666664,0.00012083829482707618,0.017134154080467066,0.038075897956593475,1202.6238101281888
F044,Soybean,84.12,Manual,4.64,2.53,24.77,Sandy,Rabi,40614.4,0.17327121827131595,5.338362068965518,9.790513833992096,0.0006098822092656792,0.05515929624346171,0.030076081787922013,482.8150261531146
F045,Tomato,326.69,Sprinkler,5.24,0.55,18.34,Peaty,Kharif,37466.11,0.6599626097987321,3.5,33.345454545454544,0.0004895090523142114,0.016039670635770914,0.0016835532155866418,114.68398175640516
F046,Carrot,112.8,Sprinkler,1.8,1.01,31.57,Clay,Kharif,79966.1,0.3414257432195752,17.538888888888888,31.257425742574256,0.000394792293234258,0.01595744680851064,0.008953900709219859,708.9193262411349
F047,Potato,347.66,Drip,3.86,2.68,31.47,Sandy,Kharif,86989.88,0.33385667025647375,8.152849740932643,11.742537313432834,0.000361766219242974,0.011102801587758154,0.0077086808951274234,250.21538284530862
F048,Potato,77.39,Sprinkler,9.34,3.0,20.53,Silty,Zaid,5874.17,0.4941999119068126,2.1980728051391862,6.843333333333334,0.003494961841417596,0.12068742731619073,0.03876469828143171,75.90347590127924
F049,Barley,462.37,Sprinkler,2.3,0.14,39.51,Clay,Kharif,53879.87,0.9424101364898214,17.178260869565218,282.21428571428567,0.00073329798308719,0.004974371174600428,0.00030278781062785217,116.52977053009495
F050,Tomato,292.25,Rain-fed,4.08,0.76,45.14,Silty,Kharif,90232.08,1.368548944312427,11.063725490196079,59.39473684210526,0.0005002655374895491,0.0139606501283148,0.002600513259195894,308.74963216424294
